CP011857.1	5521684	5527305	5622
CP011857.1	5527635	5528975	1341
CP011857.1	5529252	5532600	3349
CP011857.1	5532879	5540678	7800
CP011857.1	5541010	5545843	4834
CP011857.1	5546158	5549660	3503
CP011857.1	5551679	5552023	345
CP011857.1	5552311	5557860	5550
CP011857.1	5563743	5564492	750
CP011857.1	5571369	5572202	834
CP011857.1	5573402	5573892	491
CP011857.1	5575917	5575970	54
CP011857.1	5576844	5577342	499
CP011857.1	5579915	5580027	113
CP011857.1	5580582	5583570	2989
CP011857.1	5600643	5603433	2791
CP011857.1	5692004	5692367	364
CP011857.1	5707671	5709978	2308
CP011857.1	5763948	5764136	189
CP011857.1	5775381	5776924	1544
CP011857.1	5777314	5777389	76
CP011857.1	5780719	5780793	75
CP011857.1	5782254	5782698	445
CP011857.1	5783147	5794975	11829
CP011857.1	5817116	5822279	5164
CP011857.1	5848728	5849354	627
CP011857.1	5871763	5872289	527
CP011857.1	5872569	5872720	152
CP011857.1	5914223	5914232	10
CP011857.1	6020380	6020407	28
CP011857.1	6084188	6084278	91
CP011857.1	6163471	6165849	2379
CP011857.1	6351345	6365516	14172
CP011857.1	6411277	6411277	1
CP011857.1	6555124	6555453	330
CP011857.1	6606611	6611942	5332
CP011857.1	6657763	6658283	521
CP011857.1	6776479	6777762	1284
