JAFFXY010001115.1	1	333	333
JAFFXY010001116.1	1	332	332
JAFFXY010001117.1	1	332	332
JAFFXY010001118.1	1	332	332
JAFFXY010001119.1	1	332	332
JAFFXY010000111.1	1	659	659
JAFFXY010001120.1	1	332	332
JAFFXY010001121.1	1	332	332
JAFFXY010001122.1	1	332	332
JAFFXY010001124.1	1	331	331
JAFFXY010001125.1	1	330	330
JAFFXY010001125.1	2	331	330
JAFFXY010001126.1	1	331	331
JAFFXY010001127.1	1	331	331
JAFFXY010001128.1	1	331	331
JAFFXY010001129.1	1	331	331
JAFFXY010000112.1	1	659	659
JAFFXY010001130.1	1	331	331
JAFFXY010001131.1	1	331	331
JAFFXY010001132.1	1	330	330
JAFFXY010001133.1	1	330	330
JAFFXY010001134.1	1	330	330
JAFFXY010001135.1	1	330	330
JAFFXY010001136.1	1	330	330
JAFFXY010001137.1	1	330	330
JAFFXY010001138.1	1	330	330
JAFFXY010001139.1	1	330	330
JAFFXY010000113.1	1	657	657
JAFFXY010001140.1	1	330	330
JAFFXY010001141.1	1	330	330
JAFFXY010001142.1	1	330	330
JAFFXY010001143.1	1	330	330
JAFFXY010001144.1	1	330	330
JAFFXY010001146.1	1	330	330
JAFFXY010001147.1	1	329	329
JAFFXY010001148.1	1	329	329
JAFFXY010001149.1	1	329	329
JAFFXY010000114.1	1	656	656
JAFFXY010001150.1	1	329	329
JAFFXY010001151.1	1	329	329
JAFFXY010001152.1	1	329	329
JAFFXY010001153.1	1	329	329
JAFFXY010001154.1	1	329	329
JAFFXY010001155.1	1	329	329
JAFFXY010001156.1	1	329	329
JAFFXY010001157.1	1	329	329
JAFFXY010001158.1	1	328	328
JAFFXY010001158.1	2	329	328
JAFFXY010001159.1	1	328	328
JAFFXY010000115.1	1	654	654
JAFFXY010001160.1	1	328	328
JAFFXY010001161.1	1	328	328
JAFFXY010001162.1	1	328	328
JAFFXY010001163.1	1	328	328
JAFFXY010001164.1	1	328	328
JAFFXY010001165.1	1	328	328
JAFFXY010001166.1	1	328	328
JAFFXY010001167.1	1	327	327
JAFFXY010001168.1	1	327	327
JAFFXY010001169.1	1	327	327
JAFFXY010000116.1	1	652	652
JAFFXY010001170.1	1	327	327
JAFFXY010001171.1	1	327	327
JAFFXY010001172.1	1	327	327
JAFFXY010001173.1	1	327	327
JAFFXY010001174.1	1	327	327
JAFFXY010001175.1	1	327	327
JAFFXY010001176.1	1	327	327
JAFFXY010001177.1	1	327	327
JAFFXY010001178.1	1	327	327
